"Compound_ID","Compound_Name","Vendor_ID","Vendor","Smiles","InChI","CAS","Cocktail","Covalent"
"VT00414","3,4-dimethylaniline hydrochloride","EN300-191769 ","Enamine","CC1=C(C=C(C=C1)N)C.Cl","","7356-54-9 ","",""
"VT00415","2,4-Dimethylbenzoic acid","EN300-20447 ","Enamine","CC1=CC(=C(C=C1)C(=O)O)C","","611-01-8 ","",""
"VT00416","4,4-dimethyldihydro-2H-pyran-2,6(3H)-dione","EN300-23123 ","Enamine","CC1(CC(=O)OC(=O)C1)C","","4160-82-1 ","",""
"VT00417","3,4-dimethylpyridine","EN300-93082 ","Enamine","CC1=C(C=NC=C1)C","","583-58-4 ","",""
"VT00418","ethyl morpholine-4-carboxylate","EN300-113408 ","Enamine","CCOC(=O)N1CCOCC1",""," 6976-49-4 ","",""
"VT00419","4-fluoro-2,3-dihydro-1H-isoindole","EN300-250158 ","Enamine","C1C2=C(CN1)C(=CC=C2)F","","127168-78-9 ","",""
"VT00420","2-fluoropyridine","EN300-20457 ","Enamine","C1=CC=NC(=C1)F","","372-48-5 ","",""
"VT00421","3-hydroxy-N,N-dimethylbenzamide","EN300-37291 ","Enamine","CN(C)C(=O)C1=CC(=CC=C1)O","","15789-03-4 ","",""
"VT00422","5H,6H,7H,8H-imidazo[1,5-a]pyridine","EN300-106954 ","Enamine","C1CCN2C(=CN=C2C3CCNCC3)C1",""," 38666-30-7 ","",""
"VT00423","4-(1H-imidazol-2-yl)phenol","EN300-61826 ","Enamine","C1=CC(=CC=C1C2=NC=CN2)O","","15548-89-7 ","",""
"VT00424","isoquinoline-6-carboxylic acid","EN300-97898 ","Enamine","C1=CC2=C(C=CN=C2)C=C1C(=O)O","","106778-43-2 ","",""
"VT00425","(6-methoxypyridin-2-yl)methanol","EN300-102976 ","Enamine","COc1cccc(CO)n1","","63071-12-5 ","",""
"VT00426","4-methyl-1-(propan-2-yl)-1H-pyrazol-5-amine","EN300-232544 ","Enamine","C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C","","3524-50-3 ","",""
"VT00427","1-methyl-1,2-dihydropyridin-2-one","EN300-122028 ","Enamine","CN1C=CC=CC1=O",""," 694-85-9 ","",""
"VT00428","2-methyl-1,8-naphthyridine-3-carboxylic acid","EN300-179588 ","Enamine","CC1=C(C=C2C=CC=NC2=N1)C(=O)O","","387350-60-9 ","",""
"VT00429","1-methyl-1H-imidazole-4-carboxylic acid","EN300-97847 ","Enamine","CN1C=C(N=C1)C(=O)O","","41716-18-1 ","",""
"VT00430","3-methyl-1H-indazol-5-amine","EN300-55150 ","Enamine","CC1=C2C=C(C=CC2=NN1)N","","90764-90-2 ","",""
"VT00431","5-methylfuran-2-carboxamide","EN300-173695 ","Enamine","CC1=CC=C(O1)C(=O)N","","99968-74-8 ","",""
"VT00432","3-methylmorpholine","EN300-35609 ","Enamine","CC1COCCN1","","42185-06-8 ","",""
"VT00433","2-(3-methylphenoxy)acetamide","EN300-07377 ","Enamine","CC1=CC(=CC=C1)OCC(=O)N","","10017-53-5","",""
"VT00434","(1-methylpiperidin-4-yl)methanol","EN300-49637 ","Enamine","CN1CCC(CC1)CO","","20691-89-8 ","",""
"VT00435","N-methylpyridine-2-carboxamide","EN300-35615 ","Enamine","CNC(=O)C1=CC=CC=N1","","6144-78-1 ","",""
"VT00436","1-(2-methylpyrrolidin-1-yl)ethan-1-one","EN300-5007851 ","Enamine","CC1CCCN1C(=O)C","","18912-61-3 ","",""
"VT00437","4-(1,3,4-oxadiazol-2-yl)pyridine","EN300-44122 ","Enamine","C1=CN=CC=C1C2=NN=CO2","","64001-70-3 ","",""
"VT00438","1-(oxan-2-yl)-1H-pyrazole","EN300-200719 ","Enamine","C1CCOC(C1)N2C=CC=N2","","449758-17-2 ","",""
"VT00439","1-phenyl-1H-imidazole","EN300-67324 ","Enamine","c1ccc(cc1)-n2ccnc2","","7164-98-9 ","",""
"VT00440","3-phenylpropanamide","EN300-45094 ","Enamine","C1=CC=C(C=C1)CCC(=O)N","","102-93-2 ","",""
"VT00441","3-(piperidin-1-ylmethyl)benzene-1-carboximidamide dihydrochloride","EN300-55960 ","Enamine","C1CCN(CC1)CC2=CC=CC(=C2)C(=N)","","1208849-38-0 ","",""
"VT00442","1H,3H-furo[3,4-c]pyridine-1,3-dione","EN300-70000 ","Enamine","C1=CN=CC2=C1C(=O)OC2=O","","4664-08-8 ","",""
"VT00443","2-pyrimidinecarbonitrile","EN300-43565 ","Enamine","C1=CN=C(N=C1)C#N","","14080-23-0 ","",""
"VT00444","3-[(pyrrolidin-1-yl)methyl]benzoic acid hydrochloride","EN300-7356311 ","Enamine","C1CCN(C1)CC2=CC=CC(=C2)C(=O)O.Cl","","887922-93-2 ","",""
"VT00445","[4-(pyrrolidine-1-carbonyl)phenyl]methanamine","EN300-35107 ","Enamine","C1CCN(C1)C(=O)C2=CC=C(C=C2)CN","","882855-90-5 ","",""
"VT00446","4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylic acid","EN300-00863 ","Enamine","C1CCC2=C(C1)C(=CS2)C(=O)O","","19156-54-8 ","",""
"VT00447","2,2,4-trimethylpyrrolidine hydrochloride","EN300-374336 ","Enamine","Cl.CC1CNC(C)(C)C1","","1390654-80-4 ","",""
"VT00448","5,5-dimethyl-1,3-dioxane","EN300-110112 ","Enamine","CC1(COCOC1)C",""," 872-98-0 ","",""
"VT00449","2-(1H-imidazol-1-yl)propanoic acid hydrochloride","EN300-40143 ","Enamine","CC(C(=O)O)N1C=CN=C1.Cl","","90269-13-9 ","",""
"VT00450","2-(methoxymethyl)-1H-imidazole","EN300-142444 ","Enamine","COCC1=NC=CN1","","102644-75-7 ","",""
"VT00451","N-methylpiperidine-2-carboxamide hydrochloride","EN300-113076 ","Enamine","CNC(=O)C1CCCCN1.Cl",""," 1236263-43-6 ","",""
"DMSO","Dimethyl sulfoxide ","","","","","","",""
"EDO","Ethylene glycol","","","","","","",""
"NAD","Nicotinamide adenine dinucleotide","","","","","","",""
"ATP","Adenosine triphosphate","","","","","","",""
